,revolucion,fecha
0,Guerra de los Ochenta Años,1568
1,Revolución inglesa,1642
2,Revolución gloriosa,1688
3,Ciclo atlántico,1776
4,Guerra de la Independencia de los Estados Unidos,1776
5,No info,No info
6,Revolución francesa,1789
7,No info,No info
8,Independencia de la América Hispana,1808
9,Revolución de mayo,1810
10,Revolución oriental,1811
11,Revolución de 1820,1820
12,Trienio Liberal,1820
13,Revolución liberal de Oporto,1820
14,Guerra de independencia de Grecia,1821
15,Revolución de 1830,1830
16,Monarquía de Julio,1830
17,Revolución belga,1830
18,Revolución de 1848,1848
19,Revolución de Ayutla,1854
20,Revolución de 1868,1868
21,Revolución rusa de 1905,1905
22,Revolución mexicana,1910
23,Revolución de Xinhai,1911
24,Revolución de febrero,1917
25,Revolución de Noviembre,1918
26,Revolución turca (aún no redactado),1919
27,Comuna de París,1871
28,Revolución bolchevique,1917
29,No info,No info
30,Levantamiento Espartaquista,1919
31,República Soviética Húngara,1919
32,Revolución mongola de 1921,1921
33,Revolución de Asturias de 1934,1934
34,Revolución española de 1936,1936
35,Revolución búlgara,1944
36,Revolución china de 1949,1949
37,Revolución cultural,1966
38,Telón de Acero,1945
39,Historia de Corea del Norte,1948
40,Crisis de los misiles en Cuba,1962
41,Gran Salto Adelante,1958
42,Vietnam del Norte,1954
43,Guerra de Independencia de Argelia,1954
44,Historia de Iraq,1958
45,Revolución cubana,1959
46,Crisis del Congo,1960
47,Yemen del Sur,1967
48,Historia de Libia,1969
49,Historia de Somalia,1969
50,Salvador Allende,1970
51,Historia de Benín,1972
52,Historia de Etiopía,1974
53,Guinea-Bissau,1974
54,Kampuchea Democrática,1975
55,Vietnam del Sur,1975
56,Historia de Laos,1975
57,Didier Ratsiraka,1975
58,Cabo Verde,1975
59,Historia de Mozambique,1975
60,Historia de Angola,1975
61,Revolución de Saur,1978
62,Revolución sandinista,1979
63,Historia de Granada (país),1979
64,Burkina Faso,1983
65,Italia fascista,1922
66,Tercer Reich,1933
67,Movimiento Nacional,1936
68,Francia de Vichy,1940
